user-id,top_categories,most_played_publisher,most_played_platform,average_spending,favorite_tags
39082468,"Single-player, Steam Achievements, Steam Cloud",2K;Aspyr Mac;Aspyr Linux,windows,12.75666667,"Action, Strategy, RPG, FPS, Adventure"
80779496,"Single-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,10.05194444,"Indie, Action, RPG, Strategy, Platformer"
212875606,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
284439080,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
84610577,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
43189361,Single-player,Square Enix,windows,5.99,"World War II, Strategy, RTS"
68372559,"Multi-player, Valve Anti-Cheat enabled, Co-op",Valve,windows;mac;linux,3.595,"Free to Play, MOBA, Strategy, Action, FPS"
31733654,"Multi-player, Valve Anti-Cheat enabled, Steam Achievements",Valve,windows;mac;linux,5.908333333,"FPS, Multiplayer, Action, Co-op, Free to Play"
158495272,"Multi-player, Steam Trading Cards, Steam Achievements",Valve,windows;mac;linux,2.855714286,"Free to Play, FPS, Multiplayer, MOBA, Shooter"
199693353,"Single-player, Steam Achievements, Multi-player",Valve,windows,8.72,"Action, Multiplayer, Free to Play, FPS, Horror"
240508393,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
24011187,"Steam Achievements, Steam Trading Cards, Single-player",Valve,windows,16.435625,"FPS, Zombies, Open World, Multiplayer, Action"
97634356,"Multi-player, Steam Achievements, Steam Trading Cards",Valve,windows;mac;linux,8.226666667,"FPS, Multiplayer, Action, RPG, Open World"
243664576,"Steam Achievements, Single-player, Steam Trading Cards",Valve,windows;mac;linux,5.423958333,"Free to Play, Multiplayer, Action, Survival, FPS"
73094226,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
146449077,"Single-player, Full controller support",The Quinnspiracy,windows;mac;linux,0,"Free to Play, Indie, Short"
46800342,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
235037893,"Multi-player, Steam Trading Cards, Steam Workshop",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy, FPS, Multiplayer"
252540851,"Multi-player, Co-op, Steam Trading Cards",Valve,windows;mac;linux,0,"Free to Play, MOBA, Strategy"
257891885,"Multi-player, Cross-Platform Multiplayer, Steam Achievements",Valve,windows;mac;linux,0,"FPS, Multiplayer, Free to Play"
24469287,"Single-player, Steam Achievements, Steam Trading Cards",Paradox Interactive,windows;mac;linux,12.68215,"Action, Indie, Strategy, RPG, Open World"
